cuenca|area_ha|a1_porc_est_precip|rango_a1|a2_porc_est_precip|rango_a2|b2_porc_est_precip|rango_b2
1|2683.77||||||
2|2207.01||||||
3|2696.73||||||
4|93254.34|-18.591006|Entre -30% a -10%|-31.109453|Menores de -30%|-30.971129|Menores de -30%
5|92229.77|-32.188118|Menores de -30%|-39.549053|Menores de -30%|-38.934818|Menores de -30%
6|164855.3|-28.270811|Entre -30% a -10%|-33.878695|Menores de -30%|-34.325008|Menores de -30%
7|118436.22|-20.843404|Entre -30% a -10%|-33.456548|Menores de -30%|-34.617584|Menores de -30%
8|55577.48|-20.7419|Entre -30% a -10%|-34.304312|Menores de -30%|-35.911612|Menores de -30%
9|112291.52|-26.038467|Entre -30% a -10%|-28.830006|Entre -30% a -10%|-31.70205|Menores de -30%
10|46254.83|-21.8716|Entre -30% a -10%|-42.0009|Menores de -30%|-44.276733|Menores de -30%
11|85276.33|-24.211979|Entre -30% a -10%|-44.784653|Menores de -30%|-40.394211|Menores de -30%
12|124451.29|-22.957354|Entre -30% a -10%|-42.926719|Menores de -30%|-43.188077|Menores de -30%
13|63001.25|-18.728584|Entre -30% a -10%|-18.520853|Entre -30% a -10%|-24.036679|Entre -30% a -10%
14|80921.43|-28.422433|Entre -30% a -10%|-40.444789|Menores de -30%|-39.761689|Menores de -30%
15|48385.42|-26.757883|Entre -30% a -10%|-29.739867|Entre -30% a -10%|-32.036975|Menores de -30%
16|66724.05|-22.058023|Entre -30% a -10%|-15.293646|Entre -30% a -10%|-23.360769|Entre -30% a -10%
17|519749.96|-21.863594|Entre -30% a -10%|-23.937117|Entre -30% a -10%|-26.703303|Entre -30% a -10%
18|93673.83|-31.466363|Menores de -30%|-26.442232|Entre -30% a -10%|-33.028942|Menores de -30%
19|114931.48|-17.917221|Entre -30% a -10%|-8.129929|Entre -10% a 10%|-8.027879|Entre -10% a 10%
20|107027.02|-16.63188|Entre -30% a -10%|-7.648515|Entre -10% a 10%|-3.20844|Entre -10% a 10%
21|154216.21|-17.850143|Entre -30% a -10%|-26.159903|Entre -30% a -10%|-26.952277|Entre -30% a -10%
22|215857.7|-16.304012|Entre -30% a -10%|-20.588298|Entre -30% a -10%|-11.191802|Entre -30% a -10%
23|128701.74|-34.303442|Menores de -30%|-34.261055|Menores de -30%|-35.935765|Menores de -30%
24|122009.79|-18.945848|Entre -30% a -10%|-28.8303|Entre -30% a -10%|-29.006624|Entre -30% a -10%
25|105396.07|-16.4176|Entre -30% a -10%|-38.648086|Menores de -30%|-39.250273|Menores de -30%
26|116778.88|-26.181936|Entre -30% a -10%|-22.353144|Entre -30% a -10%|-19.843896|Entre -30% a -10%
27|153380.88|-32.885677|Menores de -30%|-33.614158|Menores de -30%|-32.13841|Menores de -30%
28|258146.1|-32.403955|Menores de -30%|-34.432953|Menores de -30%|-35.086043|Menores de -30%
29|280577.24|-12.651414|Entre -30% a -10%|-21.134059|Entre -30% a -10%|-21.435014|Entre -30% a -10%
30|60384.72|-22.731294|Entre -30% a -10%|-21.698062|Entre -30% a -10%|-23.859912|Entre -30% a -10%
31|70585.62|-25.833986|Entre -30% a -10%|-27.948986|Entre -30% a -10%|-22.716386|Entre -30% a -10%
32|260578.63|-28.994798|Entre -30% a -10%|-30.487879|Menores de -30%|-28.3408|Entre -30% a -10%
33|107706.67|-22.733883|Entre -30% a -10%|-36.815539|Menores de -30%|-36.725935|Menores de -30%
34|83402.34|-22.109563|Entre -30% a -10%|-38.69275|Menores de -30%|-35.159325|Menores de -30%
35|52512.43|-25.7933|Entre -30% a -10%|-38.612933|Menores de -30%|-40.9419|Menores de -30%
36|146154.9|-24.473937|Entre -30% a -10%|-21.19356|Entre -30% a -10%|-21.990653|Entre -30% a -10%
37|248742.73|-13.866989|Entre -30% a -10%|51.470981|Mayores de 30%|54.431717|Mayores de 30%
38|74555.85|9.426888|Entre -10% a 10%|31.465875|Mayores de 30%|31.563313|Mayores de 30%
39|434800.07|-16.422789|Entre -30% a -10%|-17.725752|Entre -30% a -10%|-16.643163|Entre -30% a -10%
40|197721.74|2.184824|Entre -10% a 10%|22.735919|Entre 10% a 30%|28.763|Entre 10% a 30%
41|26400.34|4.3775|Entre -10% a 10%|-13.504667|Entre -30% a -10%|29.588167|Entre 10% a 30%
42|248682.33|-17.52831|Entre -30% a -10%|-25.317104|Entre -30% a -10%|-22.661382|Entre -30% a -10%
43|120427.7|-27.88981|Entre -30% a -10%|-32.354813|Menores de -30%|-31.953967|Menores de -30%
44|167591.35|-21.472606|Entre -30% a -10%|-10.952058|Entre -30% a -10%|-6.80971|Entre -10% a 10%
45|125822.91|-30.973935|Menores de -30%|-33.163288|Menores de -30%|-34.611488|Menores de -30%
46|304817.7|-21.325224|Entre -30% a -10%|-13.280179|Entre -30% a -10%|-4.708021|Entre -10% a 10%
47|593279.18|-18.216123|Entre -30% a -10%|-18.605015|Entre -30% a -10%|-7.691145|Entre -10% a 10%
48|186536.66|-27.973808|Entre -30% a -10%|-33.849077|Menores de -30%|-30.191826|Menores de -30%
49|107585.48|-32.622081|Menores de -30%|-35.939243|Menores de -30%|-35.141238|Menores de -30%
50|177269.35|-34.694768|Menores de -30%|-33.282357|Menores de -30%|-33.457273|Menores de -30%
51|183107.04|-20.542428|Entre -30% a -10%|-28.374987|Entre -30% a -10%|-25.456031|Entre -30% a -10%
52|55300.89|-30.91781|Menores de -30%|-33.7151|Menores de -30%|-30.61459|Menores de -30%
53|283453.02|-22.829384|Entre -30% a -10%|-30.895729|Menores de -30%|-30.000695|Menores de -30%
54|163715.42|-24.411243|Entre -30% a -10%|-22.602406|Entre -30% a -10%|-26.630631|Entre -30% a -10%
55|143666.09|-13.658383|Entre -30% a -10%|-17.160824|Entre -30% a -10%|-19.90049|Entre -30% a -10%
56|275284.21|-18.578595|Entre -30% a -10%|-25.8904|Entre -30% a -10%|-29.13669|Entre -30% a -10%
57|141466.11|-32.81424|Menores de -30%|-30.311937|Menores de -30%|-31.114787|Menores de -30%
58|84352.14|-9.804227|Entre -10% a 10%|-19.866453|Entre -30% a -10%|-23.274|Entre -30% a -10%
59|140356.86|-20.217604|Entre -30% a -10%|-22.891615|Entre -30% a -10%|-27.970707|Entre -30% a -10%
60|103575.69|-19.816765|Entre -30% a -10%|-18.037455|Entre -30% a -10%|-13.916415|Entre -30% a -10%
61|47542.23|-17.125471|Entre -30% a -10%|-21.083743|Entre -30% a -10%|-23.9396|Entre -30% a -10%
62|113195.34|-3.857142|Entre -10% a 10%|18.520385|Entre 10% a 30%|24.166115|Entre 10% a 30%
63|87606.35|-13.191685|Entre -30% a -10%|-25.622755|Entre -30% a -10%|-27.38443|Entre -30% a -10%
64|185997.16|-22.797054|Entre -30% a -10%|-29.994595|Entre -30% a -10%|-32.338897|Menores de -30%
65|239968.18|-18.843821|Entre -30% a -10%|-28.129131|Entre -30% a -10%|-30.023917|Menores de -30%
66|148424.2|-24.408235|Entre -30% a -10%|-25.331277|Entre -30% a -10%|-23.384006|Entre -30% a -10%
67|268468.36|-12.764665|Entre -30% a -10%|-5.28243|Entre -10% a 10%|-4.165787|Entre -10% a 10%
68|956934.53|-12.059995|Entre -30% a -10%|-5.139533|Entre -10% a 10%|-2.901155|Entre -10% a 10%
69|241004.64|-9.981396|Entre -10% a 10%|-11.15349|Entre -30% a -10%|-10.696606|Entre -30% a -10%
70|341056.54|-32.984698|Menores de -30%|-30.185315|Menores de -30%|-33.346486|Menores de -30%
71|355081.09|-31.011216|Menores de -30%|-29.311858|Entre -30% a -10%|-32.464568|Menores de -30%
72|431826.43|-15.850952|Entre -30% a -10%|-5.50783|Entre -10% a 10%|-3.565351|Entre -10% a 10%
73|45162.66|-21.612289|Entre -30% a -10%|-19.809411|Entre -30% a -10%|-13.570078|Entre -30% a -10%
74|627108.95|-8.469076|Entre -10% a 10%|-9.372943|Entre -10% a 10%|-5.847114|Entre -10% a 10%
75|340802.63|-16.108244|Entre -30% a -10%|-10.589076|Entre -30% a -10%|-8.750938|Entre -10% a 10%
76|78151.23|-26.16666|Entre -30% a -10%|-39.998873|Menores de -30%|-42.258693|Menores de -30%
77|522847.58|-32.660319|Menores de -30%|-30.782028|Menores de -30%|-32.205788|Menores de -30%
78|293714.37|-35.335565|Menores de -30%|-30.372371|Menores de -30%|-32.142495|Menores de -30%
79|143661.89|-5.78343|Entre -10% a 10%|-8.98265|Entre -10% a 10%|-9.1924|Entre -10% a 10%
80|257791.82|-4.384342|Entre -10% a 10%|-8.766831|Entre -10% a 10%|-8.018335|Entre -10% a 10%
81|395763.69|-2.879711|Entre -10% a 10%|-14.780127|Entre -30% a -10%|-12.480657|Entre -30% a -10%
82|1718667.99|-19.304829|Entre -30% a -10%|-17.381211|Entre -30% a -10%|-15.396881|Entre -30% a -10%
83|559827.8|-26.808102|Entre -30% a -10%|-27.942863|Entre -30% a -10%|-28.289425|Entre -30% a -10%
84|38189.69|-14.79856|Entre -30% a -10%|-19.99166|Entre -30% a -10%|-31.01739|Menores de -30%
85|142100.89|-15.791514|Entre -30% a -10%|-17.226936|Entre -30% a -10%|-21.127282|Entre -30% a -10%
86|250263.61|-32.791916|Menores de -30%|-37.0329|Menores de -30%|-39.192231|Menores de -30%
87|359512.37|-22.728135|Entre -30% a -10%|-13.442645|Entre -30% a -10%|-14.606489|Entre -30% a -10%
88|728258.77|-16.731077|Entre -30% a -10%|-13.921909|Entre -30% a -10%|-14.116201|Entre -30% a -10%
89|785489.61|-18.766241|Entre -30% a -10%|-23.240724|Entre -30% a -10%|-22.31942|Entre -30% a -10%
90|195149.66|-9.536485|Entre -10% a 10%|-21.069124|Entre -30% a -10%|-19.958541|Entre -30% a -10%
91|449129.72|-19.762804|Entre -30% a -10%|-28.022867|Entre -30% a -10%|-27.069898|Entre -30% a -10%
92|497237.49|-16.407538|Entre -30% a -10%|-9.640101|Entre -10% a 10%|-7.993436|Entre -10% a 10%
93|958976.49|-31.683973|Menores de -30%|-12.374914|Entre -30% a -10%|-13.163774|Entre -30% a -10%
94|297371.65|-35.563073|Menores de -30%|-11.372085|Entre -30% a -10%|-14.822503|Entre -30% a -10%
95|710110.4|-37.245898|Menores de -30%|-27.537702|Entre -30% a -10%|-27.803343|Entre -30% a -10%
96|210375.36|-16.829339|Entre -30% a -10%|-7.381843|Entre -10% a 10%|-8.390375|Entre -10% a 10%
97|115222.5|-7.203317|Entre -10% a 10%|-11.607157|Entre -30% a -10%|-14.813983|Entre -30% a -10%
98|822911.72|-22.858398|Entre -30% a -10%|-15.765335|Entre -30% a -10%|-11.831472|Entre -30% a -10%
99|201171.41|-32.505181|Menores de -30%|-22.077707|Entre -30% a -10%|-18.988248|Entre -30% a -10%
100|827379.43|-23.28828|Entre -30% a -10%|-5.034708|Entre -10% a 10%|6.103382|Entre -10% a 10%
101|344114.64|32.098413|Mayores de 30%|42.727155|Mayores de 30%|57.70031|Mayores de 30%
102|229935.69|-27.616157|Entre -30% a -10%|-8.067434|Entre -10% a 10%|-7.551671|Entre -10% a 10%
103|60038.08|-24.906864|Entre -30% a -10%|-38.964827|Menores de -30%|-34.967755|Menores de -30%
104|209922.91|12.307163|Entre 10% a 30%|8.391043|Entre -10% a 10%|24.300826|Entre 10% a 30%
105|246959.06|-5.990257|Entre -10% a 10%|2.365604|Entre -10% a 10%|4.109887|Entre -10% a 10%
106|414431.34|-10.265194|Entre -30% a -10%|3.106038|Entre -10% a 10%|4.686821|Entre -10% a 10%
107|291807.84|-8.091569|Entre -10% a 10%|-11.407941|Entre -30% a -10%|5.96911|Entre -10% a 10%
108|369590.99|-36.524623|Menores de -30%|-22.353353|Entre -30% a -10%|-19.299917|Entre -30% a -10%
109|445169.62|-0.001889|Entre -10% a 10%|8.755955|Entre -10% a 10%|10.367011|Entre 10% a 30%
110|364824.26|0.219224|Entre -10% a 10%|9.155308|Entre -10% a 10%|10.520949|Entre 10% a 30%
111|454639.35|-8.942721|Entre -10% a 10%|-1.48688|Entre -10% a 10%|4.35733|Entre -10% a 10%
112|665114.86|-11.278463|Entre -30% a -10%|8.524617|Entre -10% a 10%|16.632231|Entre 10% a 30%
113|888110.99|-7.122512|Entre -10% a 10%|6.685252|Entre -10% a 10%|14.821141|Entre 10% a 30%
114|247555.92|-34.549009|Menores de -30%|-31.544115|Menores de -30%|-27.729351|Entre -30% a -10%
115|533258.27|-33.795142|Menores de -30%|-14.506701|Entre -30% a -10%|-9.863194|Entre -10% a 10%
116|527072.74|-7.381822|Entre -10% a 10%|6.642046|Entre -10% a 10%|12.202926|Entre 10% a 30%
117|630096.34|-9.808482|Entre -10% a 10%|-4.68725|Entre -10% a 10%|3.356126|Entre -10% a 10%
118|800531.5|-3.088567|Entre -10% a 10%|7.799284|Entre -10% a 10%|10.428481|Entre 10% a 30%
119|343458.57|-3.400029|Entre -10% a 10%|3.591902|Entre -10% a 10%|4.771847|Entre -10% a 10%
120|406328.02|-7.847826|Entre -10% a 10%|3.69044|Entre -10% a 10%|4.983012|Entre -10% a 10%
121|254661.96|-7.681698|Entre -10% a 10%|2.465635|Entre -10% a 10%|4.148846|Entre -10% a 10%
122|817718.67|-8.513537|Entre -10% a 10%|2.037372|Entre -10% a 10%|3.851912|Entre -10% a 10%
123|1146402.84|-3.550272|Entre -10% a 10%|6.74853|Entre -10% a 10%|7.943059|Entre -10% a 10%
124|554938.5|-3.488315|Entre -10% a 10%|4.579339|Entre -10% a 10%|5.816366|Entre -10% a 10%
125|801906.52|-1.143216|Entre -10% a 10%|7.293861|Entre -10% a 10%|8.4936|Entre -10% a 10%
126|623190.54|-4.680394|Entre -10% a 10%|6.116444|Entre -10% a 10%|7.340472|Entre -10% a 10%
127|497811.85|2.236396|Entre -10% a 10%|11.64247|Entre 10% a 30%|12.22549|Entre 10% a 30%
128|187819.85|-22.128797|Entre -30% a -10%|-18.525797|Entre -30% a -10%|-15.185639|Entre -30% a -10%
129|182477.4|-16.752898|Entre -30% a -10%|-7.622276|Entre -10% a 10%|-2.431162|Entre -10% a 10%
130|497059.85|-11.441257|Entre -30% a -10%|5.536667|Entre -10% a 10%|8.906301|Entre -10% a 10%
131|124959.87|-4.204442|Entre -10% a 10%|5.7717|Entre -10% a 10%|6.51745|Entre -10% a 10%
132|96571.18|7.894737|Entre -10% a 10%|13.863895|Entre 10% a 30%|14.820316|Entre 10% a 30%
133|805649.5|0.924147|Entre -10% a 10%|9.919451|Entre -10% a 10%|11.34725|Entre 10% a 30%
134|496827.53|-3.142491|Entre -10% a 10%|7.720769|Entre -10% a 10%|8.500404|Entre -10% a 10%
135|1041210.5|-1.333883|Entre -10% a 10%|8.625861|Entre -10% a 10%|9.95256|Entre -10% a 10%
136|480566.86|2.598433|Entre -10% a 10%|12.03368|Entre 10% a 30%|13.012608|Entre 10% a 30%
137|539966.66|1.49258|Entre -10% a 10%|10.913204|Entre 10% a 30%|12.084213|Entre 10% a 30%
138|515552.04|-17.422701|Entre -30% a -10%|-5.347733|Entre -10% a 10%|-3.424176|Entre -10% a 10%
139|166239.68|-6.982818|Entre -10% a 10%|5.062212|Entre -10% a 10%|7.2755|Entre -10% a 10%
140|509692.1|-18.263794|Entre -30% a -10%|-2.335861|Entre -10% a 10%|1.402964|Entre -10% a 10%
141|243883.23|-0.369554|Entre -10% a 10%|10.391958|Entre 10% a 30%|12.693042|Entre 10% a 30%
142|178053.37|-29.536541|Entre -30% a -10%|2.168097|Entre -10% a 10%|15.194459|Entre 10% a 30%
143|144029.21|-27.168076|Entre -30% a -10%|6.149272|Entre -10% a 10%|15.700414|Entre 10% a 30%
144|85024.18|-31.418119|Menores de -30%|12.856763|Entre 10% a 30%|21.431688|Entre 10% a 30%
145|228859.96|-21.149788|Entre -30% a -10%|-6.679988|Entre -10% a 10%|4.763946|Entre -10% a 10%
146|384420.18|-23.94605|Entre -30% a -10%|0.982433|Entre -10% a 10%|8.081033|Entre -10% a 10%
147|319898.95|-18.030871|Entre -30% a -10%|-8.915612|Entre -10% a 10%|3.704003|Entre -10% a 10%
148|196744.52|-1.262966|Entre -10% a 10%|10.119386|Entre 10% a 30%|13.166614|Entre 10% a 30%
149|124305.48|-12.080096|Entre -30% a -10%|6.443737|Entre -10% a 10%|11.698875|Entre 10% a 30%
150|808081.34|-15.944453|Entre -30% a -10%|-2.217367|Entre -10% a 10%|2.328607|Entre -10% a 10%
151|384241.85|-14.227595|Entre -30% a -10%|-9.174756|Entre -10% a 10%|-4.600351|Entre -10% a 10%
152|442363.85|2.409078|Entre -10% a 10%|11.386633|Entre 10% a 30%|12.690489|Entre 10% a 30%
153|458534.19|-1.519301|Entre -10% a 10%|2.699888|Entre -10% a 10%|7.952685|Entre -10% a 10%
154|343978.58|-5.621849|Entre -10% a 10%|1.98388|Entre -10% a 10%|3.793136|Entre -10% a 10%
155|176293.93|-18.407453|Entre -30% a -10%|-4.701192|Entre -10% a 10%|-4.383076|Entre -10% a 10%
156|188324.94|-0.968639|Entre -10% a 10%|10.134444|Entre 10% a 30%|12.713639|Entre 10% a 30%
157|111247.68|-0.206527|Entre -10% a 10%|10.110864|Entre 10% a 30%|12.624773|Entre 10% a 30%
158|698043.97|-0.012759|Entre -10% a 10%|9.960528|Entre -10% a 10%|11.969437|Entre 10% a 30%
